book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
551,36,8,14593,649,2,1,2016,50,2
1600,202,6,24770,240,9,38,2009,200,2
213,393,7,17285,524,5,22,2016,187,2
373,111,4,20601,631,7,36,2006,108,6
93,91,1,25214,239,6,33,2002,83,5
1687,391,1,15179,644,2,2,2004,55,2
195,215,1,399,320,10,22,2019,131,4
422,318,3,29484,506,8,22,2021,148,4
941,56,3,9567,334,10,48,2000,146,5
1238,27,4,18608,160,3,45,2014,97,5
394,246,1,4595,455,10,22,2013,76,7
1115,20,10,3989,580,2,43,2011,52,5
1276,235,9,28102,596,8,30,2010,52,4
2825,317,6,4786,356,2,20,2004,101,3
1013,116,7,25887,271,9,14,2012,63,1
2145,430,9,9178,207,3,45,2015,149,1
36,224,1,17494,511,3,34,2015,168,6
324,75,9,10975,145,10,9,2008,150,4
2155,344,10,5261,315,1,15,2015,176,7
1274,419,10,14612,586,3,37,2002,106,5
2585,389,2,2796,439,7,34,2016,27,6
1024,85,6,10391,501,2,7,2011,165,5
385,357,3,23564,631,4,36,2011,18,7
1294,37,10,717,116,5,36,2002,105,2
756,432,4,1441,614,6,41,2004,15,6
666,341,6,12659,623,4,48,2014,118,7
1540,228,7,14188,572,8,24,2018,54,6
187,31,6,9396,509,9,32,2004,168,3
511,386,6,11536,143,6,25,2017,52,4
833,344,2,7152,632,1,14,2012,62,4
967,127,3,14345,604,5,5,2019,89,6
222,300,3,4085,418,5,19,2018,77,6
314,282,10,8086,369,2,47,2021,174,5
351,192,2,15099,561,4,8,2020,101,6
326,277,6,24829,548,4,50,2001,101,5
763,232,3,4235,160,1,44,2008,94,3
2989,290,6,13455,538,2,31,2005,158,4
2407,241,2,1436,582,8,31,2003,146,2
1390,6,8,25410,403,3,45,2020,2,3
1752,142,6,16556,478,5,40,2019,65,4
900,153,2,10223,698,6,22,2010,28,6
2158,279,2,63,510,1,50,2020,119,3
57,346,6,12162,424,1,39,2012,118,2
1235,337,10,4995,171,10,21,2005,40,5
1253,399,10,13057,557,9,23,2004,47,7
970,56,5,10135,671,1,33,2005,8,1
1885,236,3,4878,77,7,46,2015,97,5
872,385,6,10039,129,7,32,2011,84,1
425,136,1,10895,620,5,27,2014,189,7
1448,64,8,11488,619,8,15,2010,68,1
1915,324,5,8911,478,1,8,2004,45,7
2276,204,6,7879,205,2,39,2015,98,7
1214,169,4,24669,333,2,16,2016,172,3
2604,21,7,1942,455,10,2,2009,131,4
2275,418,4,3887,372,10,33,2015,180,4
2790,278,4,14710,443,5,10,2007,111,5
1179,142,5,20574,267,10,45,2006,34,6
2141,342,3,7979,409,7,14,2016,32,4
734,380,1,14693,355,5,31,2016,155,1
1641,399,8,20929,395,9,30,2011,190,1
363,442,10,18324,577,6,10,2002,73,4
2704,199,4,15788,649,8,36,2016,150,7
2292,328,8,13183,662,3,16,2009,165,1
1106,214,7,14025,680,8,43,2018,38,4
785,133,7,9820,333,3,22,2017,143,2
2326,203,8,14404,654,3,11,2002,100,6
1091,310,1,9174,563,7,20,2003,107,1
2175,342,7,19831,396,3,25,2005,144,3
2456,278,7,25135,369,2,21,2017,136,7
292,142,9,29411,142,5,39,2007,2,2
2173,163,8,24035,332,8,23,2016,176,3
2324,429,3,20956,683,1,8,2021,18,5
1562,241,10,6407,546,5,26,2006,136,7
676,186,3,9419,187,5,22,2020,99,2
250,328,10,26019,589,10,1,2006,136,7
2578,146,10,1135,527,6,35,2004,192,2
607,301,9,27100,677,6,35,2005,78,1
1465,320,10,28264,158,9,48,2009,189,2
754,330,5,7719,641,5,7,2017,178,5
724,409,10,4358,172,8,11,2007,15,6
714,267,9,18884,458,7,17,2001,86,5
1637,435,1,26433,397,4,9,2014,76,6
129,2,8,3757,588,8,35,2004,130,1
2955,310,5,17786,100,7,14,2003,166,5
2421,286,9,29223,131,6,29,2013,162,3
2018,81,1,23184,259,7,13,2019,69,5
1921,155,4,11536,698,1,45,2021,17,2
1021,223,9,18393,440,8,49,2016,84,5
1393,57,3,25318,382,6,19,2004,47,4
899,328,9,21781,329,4,9,2003,34,3
2479,140,9,12688,512,4,44,2020,165,1
1400,195,1,12248,485,9,45,2005,173,4
57,257,2,26902,534,4,1,2021,30,1
1444,111,1,22602,516,9,4,2015,39,2
1988,392,9,26376,350,1,20,2017,119,6
288,309,4,17867,121,3,28,2021,10,5
343,328,1,23521,354,6,9,2010,161,2
2957,135,4,19417,466,3,9,2008,193,6
1704,393,3,23242,350,4,23,2019,55,1
130,4,3,9610,199,1,2,2012,185,5
1606,104,6,13257,532,3,11,2006,128,1
1341,156,2,25399,212,2,16,2012,58,1
905,284,1,5895,571,7,19,2007,104,2
343,249,1,18270,510,4,16,2013,83,6
2162,417,2,15325,474,6,17,2010,17,5
2191,256,6,5818,450,2,33,2011,122,1
692,3,7,3076,615,2,49,2006,10,7
2596,132,7,16386,348,3,32,2004,40,5
174,351,7,26182,416,1,9,2009,96,1
2683,70,10,7817,263,4,46,2016,109,5
571,187,8,1146,149,6,33,2020,111,6
1518,364,6,6176,330,7,45,2000,71,7
2272,60,6,28132,188,5,27,2011,62,1
2124,228,10,27521,308,4,47,2018,167,7
1456,38,2,3441,454,10,18,2007,56,2
254,376,3,18430,164,1,1,2005,130,6
2255,335,8,2512,145,9,7,2007,175,4
267,198,4,6939,196,7,37,2013,9,1
2059,320,9,14547,293,10,31,2004,37,7
2216,124,9,7960,455,8,28,2007,111,1
2195,441,4,11,662,3,40,2003,16,1
2223,447,10,10351,293,4,11,2019,114,6
645,128,10,28648,269,8,16,2006,74,6
1478,271,7,1046,333,2,1,2017,148,7
545,171,7,28222,576,8,32,2002,40,6
8,344,1,23302,427,2,15,2021,184,7
423,235,3,12362,505,5,50,2008,49,2
231,389,1,28639,396,10,46,2021,175,7
1789,62,4,14296,618,9,49,2009,42,7
1824,240,10,17734,363,6,44,2013,129,1
1028,213,9,23169,354,7,16,2012,153,1
1978,26,1,3905,97,9,26,2000,181,2
497,301,6,20539,615,2,50,2019,96,1
1330,8,6,25507,299,7,10,2003,126,7
1452,133,3,13111,96,8,7,2004,84,4
954,170,2,24425,352,4,19,2020,40,1
2864,109,2,12362,385,9,15,2021,161,4
1385,420,6,18350,391,6,46,2012,87,4
594,67,5,188,114,5,34,2002,65,6
1526,42,2,5071,684,9,1,2007,15,1
278,135,10,2534,576,9,40,2012,200,7
153,321,2,8382,105,9,35,2019,190,5
1738,16,7,1263,522,1,30,2009,92,4
495,133,8,24516,550,5,38,2015,58,5
1300,241,2,8378,410,7,32,2017,199,7
2349,441,10,12907,437,7,29,2001,63,5
1400,346,5,14543,685,10,44,2002,12,2
2393,184,1,8966,498,10,49,2012,114,3
1191,174,10,4931,526,8,41,2000,118,2
1450,148,6,3457,601,1,9,2005,70,2
2829,74,10,14043,368,6,43,2010,38,3
2417,322,10,27635,695,5,5,2006,50,5
2240,328,2,6881,138,6,9,2001,104,3
1156,300,4,26254,403,5,31,2014,76,7
1300,248,9,9213,405,2,49,2007,67,2
2053,216,1,24714,174,1,29,2017,180,2
1764,185,9,28128,414,4,46,2015,181,6
1642,233,3,5145,587,5,41,2015,49,6
267,71,3,20446,265,10,16,2013,36,7
1876,140,10,24131,636,8,45,2006,57,3
1455,195,2,15381,535,4,49,2011,197,1
282,359,3,21315,138,7,7,2003,29,4
1327,443,10,1947,98,5,33,2007,98,7
46,385,5,7007,506,5,39,2002,190,1
260,290,10,19666,156,10,49,2007,97,1
2267,17,6,904,563,1,28,2013,160,4
1343,94,2,486,353,8,34,2009,18,2
1477,4,3,8613,212,6,10,2016,7,7
2427,345,5,6656,149,3,43,2011,90,5
1358,290,9,1516,563,10,1,2007,2,6
222,137,5,13327,240,2,32,2002,91,7
1047,292,10,1183,627,1,15,2002,199,4
961,359,1,7053,258,4,49,2006,155,3
2041,51,1,4213,547,9,50,2015,55,5
452,200,9,1860,673,5,24,2015,21,6
465,46,3,8658,174,6,14,2008,67,5
195,158,2,27739,266,5,27,2002,95,2
2969,448,8,21342,673,10,10,2004,101,1
2516,14,2,14777,257,9,34,2011,176,3
1407,401,4,16559,361,8,31,2009,50,2
1503,396,6,10434,571,3,15,2005,1,4
667,375,2,7511,428,7,36,2019,190,5
2150,407,9,5501,454,10,47,2006,27,5
273,440,2,91,94,5,10,2003,42,2
316,428,6,17267,504,7,23,2021,171,6
1866,200,5,25502,153,6,38,2020,6,6
1930,130,10,4423,521,2,36,2008,69,2
1255,18,10,16380,179,9,40,2011,4,3
1142,3,1,29542,392,4,16,2004,27,1
2442,446,5,16713,281,9,4,2016,36,2
1230,366,7,20972,159,9,32,2021,157,4
2247,237,3,22173,357,4,25,2002,159,1
2202,176,5,3158,166,3,13,2016,22,3
215,361,10,18771,421,10,41,2019,146,1
2335,240,1,22654,396,1,38,2018,77,6
321,423,4,22809,561,6,30,2007,192,3
2269,37,1,13273,611,3,5,2019,33,4
2797,276,1,23337,510,8,45,2004,6,7
903,372,1,25924,118,6,25,2016,142,6
698,281,1,5473,266,2,44,2003,27,3
2386,156,4,3691,235,2,1,2020,54,5
340,336,1,18320,90,4,45,2021,120,6
2812,72,10,12307,537,7,30,2004,113,5
1014,228,6,4365,343,2,31,2020,131,2
522,90,9,23953,467,4,32,2009,28,5
1703,177,3,22491,205,7,49,2019,120,6
19,230,7,23829,112,9,26,2005,119,2
594,301,2,2440,628,9,11,2015,147,5
2925,222,9,4089,651,4,26,2020,122,4
2344,214,7,7330,395,10,6,2020,53,6
2890,150,1,15340,208,3,21,2001,85,4
1577,380,5,19863,679,4,34,2005,119,3
326,82,6,27746,462,7,46,2008,99,3
367,175,5,12990,588,1,27,2013,102,3
2701,74,2,23979,377,4,3,2010,138,6
2070,372,9,10537,501,5,28,2003,145,2
2546,370,8,178,563,4,15,2009,127,2
2210,414,9,29690,383,2,36,2019,73,2
663,267,5,8694,605,4,31,2018,192,6
1852,169,10,15625,504,6,44,2012,179,7
1797,126,8,16348,359,7,31,2006,179,1
942,97,5,145,101,6,41,2008,138,5
1444,116,4,8986,80,1,44,2016,43,1
677,314,4,20831,483,3,1,2001,37,6
2209,12,10,6317,289,5,49,2008,188,4
2656,112,10,27330,471,1,27,2008,179,5
1408,420,4,17901,407,2,20,2019,94,7
222,31,6,12404,207,9,18,2004,158,3
520,68,2,17201,75,1,14,2011,81,4
1015,248,2,28645,106,8,48,2012,82,4
1973,357,9,460,220,1,15,2004,162,2
1805,148,3,10942,325,8,15,2011,62,7
2224,360,8,21049,105,9,1,2013,200,4
2079,103,6,23325,440,10,44,2013,14,6
1274,72,7,10641,533,9,46,2016,189,2
2725,42,2,8148,623,9,43,2019,59,2
2252,108,3,11693,673,6,45,2000,61,2
2947,58,2,443,330,7,16,2012,55,6
2773,316,1,12098,279,3,38,2005,100,3
409,240,2,9690,537,3,30,2005,68,7
2740,373,7,16122,239,1,40,2014,117,4
1015,184,8,16779,260,6,46,2014,111,3
1496,419,1,24276,144,6,40,2010,187,1
1026,328,2,28192,524,10,46,2007,16,6
1504,59,2,6112,599,5,36,2018,126,4
476,49,4,4479,413,6,48,2008,68,2
986,111,6,16862,371,7,25,2021,115,3
2116,360,6,15303,354,3,1,2011,63,5
501,42,6,26156,623,5,1,2007,188,6
2039,405,5,1647,445,5,34,2001,123,6
1477,274,5,10937,371,6,45,2007,63,5
2934,72,1,15059,446,6,16,2021,143,6
28,382,2,5004,284,7,47,2009,53,6
2660,250,8,29653,119,2,38,2002,116,1
735,421,4,6025,369,6,7,2015,83,5
22,321,2,4957,515,5,12,2003,6,2
2839,324,5,18236,209,9,5,2000,27,1
1599,302,4,1971,533,4,43,2013,191,2
787,406,8,3079,442,5,2,2009,180,3
2950,257,5,25275,183,3,42,2015,151,3
2009,197,6,3385,117,10,40,2006,63,5
1065,41,4,17779,687,7,47,2004,152,6
1900,403,2,16753,465,7,43,2012,96,6
1820,381,4,12146,571,7,38,2016,102,1
1773,15,2,8258,582,10,39,2016,157,3
2872,134,3,19693,272,2,40,2006,25,5
2689,128,2,9932,568,5,31,2002,75,4
1027,319,5,19901,276,9,40,2008,20,5
478,445,3,18930,633,7,9,2005,81,2
203,257,6,7875,219,4,39,2004,26,7
928,154,8,14109,620,1,25,2009,173,1
1873,368,9,5054,217,3,38,2008,33,3
1783,284,10,28744,407,8,50,2014,47,5
580,186,8,5201,538,8,44,2016,88,2
815,311,9,1346,357,3,21,2012,10,6
1213,268,8,22549,464,6,43,2015,92,2
2861,161,6,9198,653,6,2,2008,152,7
1027,48,7,24257,270,7,14,2003,183,4
1174,206,5,11279,238,2,10,2013,177,6
1083,415,7,4698,489,9,39,2020,62,2
2604,276,8,21818,559,6,33,2015,29,4
2894,198,2,9452,429,9,42,2001,179,5
1732,6,6,2281,380,3,9,2002,188,4
209,424,2,1358,574,7,4,2021,145,1
1758,374,1,2227,370,9,22,2005,122,6
1799,71,1,20792,252,1,45,2015,150,2
1647,84,1,7639,605,5,10,2000,85,4
234,99,9,6176,440,6,45,2001,99,1
1183,304,10,27976,460,10,6,2021,191,7
1524,73,10,7364,231,8,46,2003,71,5
283,86,9,27248,187,8,28,2012,118,3
506,5,8,9331,677,2,45,2015,133,3
2107,401,1,14634,657,10,1,2020,49,4
2519,56,10,4718,176,10,24,2020,127,5
134,55,8,10591,168,5,29,2006,83,3
2169,344,4,4076,194,3,26,2021,59,4
2817,141,10,8806,166,2,39,2019,92,5
1574,209,6,14583,304,2,48,2013,35,5
971,110,2,17739,420,3,42,2003,92,6
2130,342,1,8916,168,3,38,2009,9,3
2820,151,3,2369,128,2,15,2004,200,5
322,361,3,15275,111,5,27,2021,156,2
2542,334,9,21624,631,7,18,2019,69,5
2974,124,8,18658,684,3,39,2007,139,6
2596,393,10,4232,436,9,31,2010,96,5
2950,442,8,24408,381,9,39,2005,35,6
2428,72,10,28816,561,6,37,2001,40,7
1908,274,10,28087,539,3,46,2011,143,5
938,284,9,10070,88,1,27,2012,53,3
2613,36,2,14336,435,7,48,2016,171,4
760,299,7,23937,234,2,17,2021,51,3
2847,367,3,24318,506,3,45,2019,174,7
1790,82,8,16276,673,6,11,2017,12,4
832,365,3,6574,108,2,8,2002,80,7
2592,36,4,18327,533,8,12,2018,168,4
1225,442,10,21566,668,1,14,2004,66,6
2993,323,5,16960,691,8,1,2019,50,1
530,332,9,2261,93,4,30,2002,7,2
1692,129,2,20179,544,9,14,2002,91,1
1857,435,10,9248,692,10,45,2003,4,2
1264,370,4,13321,134,4,16,2000,91,3
1051,220,8,25365,644,1,22,2020,139,5
2143,125,9,25667,546,2,4,2020,175,1
241,275,6,28878,302,3,42,2005,40,3
109,15,4,6437,475,6,42,2000,115,7
1160,379,4,10703,272,4,29,2001,39,3
2416,161,10,17555,360,6,36,2009,150,3
2765,258,9,12524,343,5,12,2014,177,5
2455,322,2,15501,98,2,32,2021,74,2
2935,143,5,26717,304,7,29,2012,200,4
687,188,9,23493,666,10,7,2005,132,2
570,18,10,10258,411,8,28,2009,115,5
2562,17,4,3445,600,7,48,2009,133,5
1151,340,2,25296,84,2,3,2018,23,3
2416,195,5,8521,523,7,38,2009,175,5
2696,237,1,6992,399,6,13,2004,37,3
544,228,6,29250,506,7,46,2000,192,5
2786,124,10,8403,483,8,48,2008,93,6
632,341,10,20343,494,4,46,2011,77,4
2997,119,3,22310,570,1,16,2015,19,3
2927,385,5,14805,549,9,27,2001,146,3
1404,358,4,7787,209,2,4,2000,125,6
1536,10,8,6390,517,4,44,2021,153,6
2377,427,3,15845,331,1,36,2008,58,4
2811,197,3,974,365,3,30,2012,181,2
22,107,6,789,99,10,30,2004,171,7
1124,424,10,10644,90,10,10,2015,100,1
455,417,4,5295,571,9,5,2002,3,7
71,439,5,104,267,10,37,2002,129,6
58,353,2,27903,287,5,12,2014,143,6
2032,340,5,7453,573,10,23,2017,71,4
197,28,1,28409,139,3,18,2020,61,7
1208,235,6,21013,230,4,45,2017,66,7
2483,317,2,16955,437,9,48,2001,14,3
954,322,10,1336,110,3,17,2005,124,5
2878,372,5,1450,79,1,7,2004,48,5
642,186,5,23324,364,8,13,2013,54,7
387,328,5,4309,378,9,19,2003,142,6
2850,281,9,7008,595,9,1,2016,59,4
2772,263,6,22930,382,6,32,2016,86,4
1404,418,4,991,125,7,4,2000,195,4
330,416,2,23341,699,8,23,2007,26,6
1787,148,5,15031,471,3,43,2019,37,6
1615,6,2,6871,361,7,50,2019,144,6
2057,154,10,19298,142,7,32,2013,36,5
2080,131,2,8525,216,5,18,2012,151,6
316,331,8,19180,343,7,1,2017,118,6
191,300,2,5003,677,2,36,2006,113,4
2673,59,6,21383,239,8,23,2010,104,6
2780,409,2,5785,145,7,43,2018,76,3
1220,310,8,21297,173,7,15,2013,79,5
739,424,1,2740,529,1,12,2014,198,5
2937,287,9,25298,329,7,45,2001,132,5
1422,364,2,7192,517,7,18,2020,56,7
1757,382,4,14195,389,5,3,2005,34,6
2944,279,5,24362,379,6,40,2017,184,1
2290,163,6,28154,165,6,6,2013,149,5
1554,155,8,10391,388,6,40,2011,68,1
760,175,5,12333,409,6,39,2006,41,5
2746,91,10,1515,358,1,6,2017,134,7
2551,167,8,14560,311,8,43,2006,67,4
185,29,6,13377,144,3,34,2011,133,6
899,414,1,24853,650,5,31,2000,31,6
1112,112,4,6222,192,10,29,2018,72,5
345,7,5,21107,683,3,33,2011,164,3
93,298,1,27257,75,2,20,2001,88,7
2154,417,6,15751,588,3,7,2012,90,7
208,235,5,3960,614,5,4,2003,163,6
1584,129,1,25704,571,5,12,2009,75,3
2106,352,9,29449,422,7,49,2006,163,7
2431,93,1,24509,95,8,46,2000,144,1
1377,228,7,18222,543,7,34,2006,35,6
2960,32,1,6004,630,5,43,2014,68,7
2605,148,5,5335,370,3,33,2010,45,4
525,263,2,8891,155,3,28,2002,171,6
510,55,3,18405,535,6,50,2020,58,1
2679,382,6,11970,119,9,29,2017,4,4
1509,264,10,4152,107,3,50,2020,9,6
1052,176,9,26947,114,8,46,2008,16,5
2482,133,6,19912,138,7,39,2002,96,3
1345,310,1,19724,490,5,24,2011,38,1
2059,201,10,3568,114,9,29,2012,157,5
56,126,7,6110,430,9,37,2006,6,4
1807,144,1,27366,551,6,25,2001,83,5
2362,136,8,3163,270,4,42,2009,132,3
113,358,4,27627,271,2,34,2010,128,1
344,112,9,23234,105,8,23,2019,90,1
1246,272,6,20270,638,2,48,2002,98,7
2493,68,9,14238,651,8,39,2002,198,2
783,112,2,12851,388,3,20,2004,122,1
22,129,9,4417,570,3,25,2021,39,1
2028,394,5,27083,395,6,40,2017,154,1
1794,147,9,28809,564,5,29,2017,11,7
1009,166,8,19407,423,5,5,2003,73,1
1336,13,8,8251,539,6,8,2016,119,6
2774,318,4,13597,265,5,41,2008,189,6
433,340,1,12055,525,5,6,2010,102,1
2430,231,10,5010,189,3,48,2002,54,1
944,291,2,16008,418,1,17,2002,102,4
1680,392,2,10846,282,9,10,2001,100,5
1683,297,6,6505,328,1,49,2012,9,6
2092,412,4,28513,592,6,17,2001,142,6
2725,361,10,19414,82,6,41,2003,143,1
2983,4,10,19873,114,8,4,2010,93,1
2525,123,10,343,252,10,6,2021,64,7
2108,362,6,19700,275,8,8,2014,87,4
1647,426,9,26474,498,8,49,2011,68,2
2090,82,2,15203,401,7,29,2010,23,2
2708,157,10,12748,132,5,34,2013,80,7
2797,243,4,26715,370,4,28,2004,76,1
821,225,7,2465,226,3,20,2006,128,7
2488,41,6,18308,80,4,12,2005,6,2
1603,167,10,15465,133,4,41,2004,184,6
178,30,8,28822,104,10,17,2014,63,6
1460,238,2,22099,355,1,37,2013,118,3
2220,141,1,25498,655,10,7,2003,14,7
2746,93,2,11761,655,6,5,2007,151,7
830,204,4,14157,166,4,23,2017,23,3
2775,293,5,16582,561,4,1,2020,96,7
2239,390,3,266,229,7,11,2000,139,4
828,96,4,21559,430,2,38,2011,191,3
1175,156,10,17744,430,9,50,2018,95,6
1126,39,2,26459,372,5,33,2012,58,6
2798,359,4,20987,482,9,30,2003,156,3
1445,58,2,29898,631,4,41,2004,27,1
2847,284,3,22667,76,6,5,2011,126,2
656,166,4,17229,366,9,3,2021,94,2
2780,305,8,20501,147,5,31,2021,166,2
560,288,4,12334,651,4,40,2007,3,2
1034,252,3,20740,374,3,31,2006,28,7
2942,37,5,17345,115,9,27,2002,84,1
2457,273,10,17602,484,7,48,2017,32,3
2882,83,10,27286,637,5,28,2000,99,1
1930,62,3,14526,623,4,13,2004,85,5
509,65,7,18889,598,4,21,2021,85,5
1481,150,8,26754,654,9,44,2016,18,7
1720,354,9,7150,196,3,4,2005,95,4
303,371,9,19714,366,8,13,2000,13,7
582,411,6,4250,574,7,49,2021,197,1
1154,307,2,25549,245,6,49,2002,114,6
223,231,10,22352,250,7,17,2002,47,2
840,159,2,8966,112,6,21,2009,128,3
1785,433,8,742,246,10,2,2016,100,4
2695,363,5,13704,697,7,42,2017,96,4
2741,122,10,17817,453,9,35,2017,114,4
906,121,3,21344,693,5,49,2005,101,7
846,226,5,10057,594,8,38,2020,10,2
1690,394,2,14346,104,8,46,2002,93,7
1186,102,9,5508,586,6,1,2005,54,5
2384,350,2,42,609,4,29,2002,85,5
312,90,10,17997,644,2,8,2019,124,3
2887,312,10,25526,328,2,2,2017,23,2
980,152,3,5914,615,2,23,2011,28,5
1376,352,6,27351,568,3,43,2002,60,4
2603,248,10,5021,609,7,40,2014,88,5
288,224,5,5876,375,7,48,2007,14,7
2882,356,4,27297,267,3,10,2019,139,7
1472,259,9,16371,285,5,28,2009,45,7
32,94,6,9883,474,4,44,2008,73,6
2759,354,3,8615,497,8,46,2000,8,3
2610,231,5,4265,357,2,19,2015,100,4
2304,168,8,114,274,9,44,2007,65,7
353,166,3,7952,323,6,36,2002,160,6
2972,233,4,21930,550,2,23,2000,191,5
2513,173,2,28553,437,7,9,2005,72,3
697,233,5,17156,171,10,21,2018,49,7
2748,386,6,14396,649,9,11,2018,159,2
218,439,2,4251,292,5,38,2015,50,3
1355,139,3,18353,101,3,28,2016,78,2
985,39,9,18959,682,4,17,2021,111,7
568,342,5,13525,365,1,31,2006,169,6
2587,120,1,126,221,4,30,2010,108,3
2209,331,4,3587,421,2,15,2011,102,4
160,24,6,13508,258,9,37,2002,12,7
2377,178,2,11428,386,6,36,2015,145,5
628,201,8,7061,418,1,21,2000,81,2
1361,436,2,6235,620,7,3,2019,66,2
572,438,7,25231,694,1,11,2014,105,5
2315,198,4,29410,617,10,39,2014,30,3
1085,12,3,18005,499,7,15,2005,133,7
2510,49,5,14767,604,9,32,2020,53,4
2842,376,10,375,303,3,39,2015,109,2
2600,241,2,12697,176,10,3,2006,151,2
1817,176,2,20721,551,6,17,2008,165,6
63,191,5,6623,567,9,24,2004,192,7
1308,342,8,18929,153,9,25,2008,18,2
1583,377,6,25907,361,7,46,2014,181,3
565,422,4,1482,201,9,22,2005,186,3
2700,42,2,682,223,3,22,2016,39,1
1609,145,4,27235,91,5,24,2015,183,2
1967,35,3,8871,286,9,44,2012,142,5
2804,268,7,29009,258,1,10,2003,144,5
441,166,7,1805,655,10,6,2012,13,4
1483,151,2,19026,670,4,37,2010,31,5
2591,208,9,7128,696,2,13,2002,176,6
39,155,2,621,440,1,9,2005,135,2
248,377,1,11652,648,7,19,2006,84,7
2240,20,1,12296,487,2,18,2002,186,2
487,90,10,1917,171,4,7,2020,56,2
824,348,6,4840,136,6,1,2019,175,1
708,327,5,19061,545,6,34,2014,29,3
1432,359,2,569,311,4,23,2004,145,7
1774,299,8,951,427,10,2,2004,153,4
1409,358,1,9633,405,5,36,2018,8,7
406,240,3,12593,392,9,28,2001,65,1
2631,332,2,27780,205,6,34,2019,78,3
1055,317,7,14442,392,10,3,2008,138,4
145,140,4,14453,253,1,18,2011,151,5
194,442,3,1861,674,7,49,2015,52,6
2681,222,7,22957,628,8,17,2020,62,1
953,290,5,26446,175,1,3,2007,137,5
1894,391,8,18137,248,6,50,2008,188,5
2633,62,9,11690,110,10,50,2006,127,3
2771,416,3,15843,181,9,42,2000,46,7
1650,142,2,5058,80,9,34,2000,82,4
924,379,10,28274,392,4,39,2008,168,6
2275,286,8,10319,390,5,8,2012,23,5
2348,130,7,22747,338,8,22,2015,21,7
2329,369,2,17658,148,5,31,2014,156,4
2081,115,7,18882,671,5,49,2019,75,4
519,163,10,8569,239,5,2,2018,187,6
1562,38,3,18581,341,10,31,2012,60,6
220,19,9,29653,696,6,8,2011,144,7
2363,110,4,11506,289,6,39,2012,148,3
953,151,3,15491,536,6,47,2014,151,1
790,166,2,27650,223,6,45,2018,176,5
2484,132,6,2917,537,1,22,2012,191,5
435,355,9,1063,580,3,2,2018,112,5
1005,115,4,2152,613,6,12,2015,44,2
2461,307,10,13688,160,9,34,2009,90,1
2146,360,2,24768,158,1,29,2019,50,3
2673,14,5,4682,132,3,14,2014,184,5
1369,219,2,18856,237,4,45,2018,113,4
2652,151,9,28376,513,6,13,2020,160,5
489,69,1,7102,586,9,40,2015,142,2
2915,403,8,29758,535,5,25,2015,188,1
2394,215,6,19669,245,2,44,2014,57,5
2364,187,7,12316,347,4,37,2004,97,3
121,198,7,15076,304,7,43,2013,60,7
1361,60,4,28619,244,8,6,2016,140,1
1794,308,8,29055,180,9,11,2020,166,1
2874,398,5,6128,235,1,15,2007,179,4
832,115,8,8708,492,7,36,2020,59,5
2974,270,3,17986,222,5,23,2010,80,2
